path,c_total,c_a-midsummer-nights-dream,c_alls-well-that-ends-well,c_antony-and-cleopatra,c_as-you-like-it,c_coriolanus,c_cymbeline,c_hamlet,c_henry-iv-part-1,c_henry-iv-part-2,c_henry-v,c_henry-vi-part-1,c_henry-vi-part-2,c_henry-vi-part-3,c_henry-viii,c_julius-caesar,c_king-john,c_king-lear,c_loves-labors-lost,c_macbeth,c_measure-for-measure,c_much-ado-about-nothing,c_othello,c_pericles,c_richard-ii,c_richard-iii,c_romeo-and-juliet,c_the-comedy-of-errors,c_the-merchant-of-venice,c_the-merry-wives-of-windsor,c_the-taming-of-the-shrew,c_the-tempest,c_the-two-gentlemen-of-verona,c_the-winters-tale,c_timon-of-athens,c_titus-andronicus,c_troilus-and-cressida,c_twelfth-night
[document]/TEI/text/body/div/div/sp/speaker/c,4469,3,142,63,87,232,68,15,36,187,266,59,172,328,135,75,187,17,2,166,32,70,20,86,119,254,138,698,0,412,29,0,29,88,219,26,1,8
[document]/TEI/text/body/div/div/sp/stage,4223,78,127,115,202,93,288,109,78,100,54,110,115,99,98,66,86,141,129,71,244,71,99,77,96,135,86,72,98,150,212,113,101,86,69,77,135,143
[document]/TEI/text/body/div/div/sp/q/w,2432,0,200,0,0,0,330,49,0,0,0,0,0,18,79,70,0,118,552,123,73,0,0,0,0,0,53,0,206,100,0,0,124,113,0,0,0,224
[document]/TEI/text/body/div/div/sp/lg/l/pc,2183,492,32,0,127,0,134,69,0,0,9,0,0,0,10,0,27,50,761,0,11,73,38,39,9,0,4,98,0,5,0,29,23,37,12,0,0,94
[document]/TEI/text/body/div/div/stage/stage/w,2164,26,30,55,15,85,137,25,126,28,31,262,171,182,123,53,40,66,3,89,0,46,12,0,27,83,6,10,12,89,7,140,2,6,29,84,50,14
[document]/TEI/text/body/div/div/sp/q/c,2113,0,173,0,0,0,289,43,0,0,0,0,0,15,70,60,0,103,475,109,65,0,0,0,0,0,44,0,184,85,0,0,102,98,0,0,0,198
[document]/TEI/text/body/div/div/stage/stage/c,1598,19,15,34,9,64,118,15,105,24,12,215,131,121,97,28,32,40,2,56,0,34,8,0,18,65,4,8,8,78,4,115,1,3,18,59,29,9
[document]/TEI/text/front/castList/castGroup/castItem,1511,22,28,70,24,83,58,32,45,41,31,39,87,56,70,36,36,59,18,48,34,27,33,87,37,61,48,26,27,19,18,18,23,42,62,30,12,24
[document]/TEI/text/body/div/div/head/w,1508,18,47,84,45,58,54,40,38,34,46,54,48,56,32,36,32,52,18,56,34,34,30,53,38,50,48,22,40,46,28,19,40,30,34,28,50,36
[document]/TEI/text/body/div/div/sp/lg/l,1508,320,22,0,103,0,117,50,0,0,9,0,0,0,12,0,16,51,477,0,6,52,23,24,12,0,6,62,0,4,0,28,19,29,10,0,0,56
[document]/TEI/text/body/div/sp/l/w,1137,0,0,0,0,0,0,0,0,297,244,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,224,0
[document]/TEI/text/body/div/div/sp/q/lg/l/w,1072,0,188,0,155,0,0,23,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,21,0,101,88,146,0,0,57,41
[document]/TEI/text/body/div/sp/l/c,985,0,0,0,0,0,0,0,0,257,210,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,192,0
